object	parent_dir	type_obj	size
ps4_trackpad_l_swipe_lg.png	\images\api\dark	file	7321
ps4_trackpad_l_swipe_md.png	\images\api\dark	file	3810
ps4_trackpad_l_swipe_sm.png	\images\api\dark	file	978
ps4_trackpad_l_touch.svg	\images\api\dark	file	7600
ps4_trackpad_l_touch_lg.png	\images\api\dark	file	7290
ps4_trackpad_l_touch_md.png	\images\api\dark	file	3506
ps4_trackpad_l_touch_sm.png	\images\api\dark	file	909
ps4_trackpad_l_up.svg	\images\api\dark	file	7766
ps4_trackpad_l_up_lg.png	\images\api\dark	file	4662
ps4_trackpad_l_up_md.png	\images\api\dark	file	2600
ps4_trackpad_l_up_sm.png	\images\api\dark	file	816
ps4_trackpad_md.png	\images\api\dark	file	2684
ps4_trackpad_right.svg	\images\api\dark	file	10558
ps4_trackpad_right_lg.png	\images\api\dark	file	5880
ps4_trackpad_right_md.png	\images\api\dark	file	2851
ps4_trackpad_right_sm.png	\images\api\dark	file	753
ps4_trackpad_ring.svg	\images\api\dark	file	841
ps4_trackpad_ring_lg.png	\images\api\dark	file	2996
ps4_trackpad_ring_md.png	\images\api\dark	file	1544
ps4_trackpad_ring_sm.png	\images\api\dark	file	443
ps4_trackpad_r_click.svg	\images\api\dark	file	8514
ps4_trackpad_r_click_lg.png	\images\api\dark	file	9439
ps4_trackpad_r_click_md.png	\images\api\dark	file	4571
ps4_trackpad_r_click_sm.png	\images\api\dark	file	1048
ps4_trackpad_r_down.svg	\images\api\dark	file	7718
ps4_trackpad_r_down_lg.png	\images\api\dark	file	4623
ps4_trackpad_r_down_md.png	\images\api\dark	file	2616
ps4_trackpad_r_down_sm.png	\images\api\dark	file	812
ps4_trackpad_r_left.svg	\images\api\dark	file	7630
ps4_trackpad_r_left_lg.png	\images\api\dark	file	6479
ps4_trackpad_r_left_md.png	\images\api\dark	file	3077
ps4_trackpad_r_left_sm.png	\images\api\dark	file	923
ps4_trackpad_r_right.svg	\images\api\dark	file	7791
ps4_trackpad_r_right_lg.png	\images\api\dark	file	4421
ps4_trackpad_r_right_md.png	\images\api\dark	file	2193
ps4_trackpad_r_right_sm.png	\images\api\dark	file	574
ps4_trackpad_r_ring.svg	\images\api\dark	file	6408
ps4_trackpad_r_ring_lg.png	\images\api\dark	file	5826
ps4_trackpad_r_ring_md.png	\images\api\dark	file	2879
ps4_trackpad_r_ring_sm.png	\images\api\dark	file	783
ps4_trackpad_r_swipe.svg	\images\api\dark	file	6112
ps4_trackpad_r_swipe_lg.png	\images\api\dark	file	7328
ps4_trackpad_r_swipe_md.png	\images\api\dark	file	3816
ps4_trackpad_r_swipe_sm.png	\images\api\dark	file	964
ps4_trackpad_r_touch.svg	\images\api\dark	file	8110
ps4_trackpad_r_touch_lg.png	\images\api\dark	file	7584
ps4_trackpad_r_touch_md.png	\images\api\dark	file	3761
ps4_trackpad_r_touch_sm.png	\images\api\dark	file	927
ps4_trackpad_r_up.svg	\images\api\dark	file	7752
ps4_trackpad_r_up_lg.png	\images\api\dark	file	4615
ps4_trackpad_r_up_md.png	\images\api\dark	file	2564
ps4_trackpad_r_up_sm.png	\images\api\dark	file	827
ps4_trackpad_sm.png	\images\api\dark	file	650
ps4_trackpad_swipe.svg	\images\api\dark	file	6436
ps4_trackpad_swipe_lg.png	\images\api\dark	file	6113
ps4_trackpad_swipe_md.png	\images\api\dark	file	3075
ps4_trackpad_swipe_sm.png	\images\api\dark	file	834
ps4_trackpad_up.svg	\images\api\dark	file	14136
ps4_trackpad_up_lg.png	\images\api\dark	file	6261
ps4_trackpad_up_md.png	\images\api\dark	file	3165
ps4_trackpad_up_sm.png	\images\api\dark	file	803
ps5_button_create.svg	\images\api\dark	file	368
ps5_button_create_lg.png	\images\api\dark	file	2435
ps5_button_create_md.png	\images\api\dark	file	1363
ps5_button_create_sm.png	\images\api\dark	file	520
ps5_button_options.svg	\images\api\dark	file	270
ps5_button_options_lg.png	\images\api\dark	file	646
ps5_button_options_md.png	\images\api\dark	file	381
ps5_button_options_sm.png	\images\api\dark	file	243
ps5_l1.svg	\images\api\dark	file	447
ps5_l1_lg.png	\images\api\dark	file	2049
ps5_l1_md.png	\images\api\dark	file	1106
ps5_l1_sm.png	\images\api\dark	file	460
ps5_l2.svg	\images\api\dark	file	1046
ps5_l2_lg.png	\images\api\dark	file	4423
ps5_l2_md.png	\images\api\dark	file	2364
ps5_l2_sm.png	\images\api\dark	file	755
ps5_l2_soft.svg	\images\api\dark	file	1398
ps5_l2_soft_lg.png	\images\api\dark	file	5418
ps5_l2_soft_md.png	\images\api\dark	file	2950
ps5_l2_soft_sm.png	\images\api\dark	file	989
ps5_r1.svg	\images\api\dark	file	896
ps5_r1_lg.png	\images\api\dark	file	2818
ps5_r1_md.png	\images\api\dark	file	1467
ps5_r1_sm.png	\images\api\dark	file	540
ps5_r2.svg	\images\api\dark	file	1500
